Nature, Boosts, Lowers
Hardy, None, None
Lonely, Attack, Defense
Brave, Attack, Speed
Adamant, Attack, SpAttack
Naughty, Attack, SpDefense
Bold, Defense, Attack
Docile, None, None
Relaxed, Defense, Speed
Impish, Defense, SpAttack
Lax, Defense, SpDefense
Timid, Speed, Attack
Hasty, Speed, Defense
Serious, None, None
Jolly, Speed, SpAttack
Naïve, Speed, SpDefense
Modest, SpAttack, Attack
Mild, SpAttack, Defense
Quiet, SpAttack, Speed
Bashful, None, None
Rash, SpAttack, SpDefense
Calm, SpDefense, Attack
Gentle, SpDefense, Defense
Sassy, SpDefense, Speed
Careful, SpDefense, SpAttack
Quirky, None, None